Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
MTBLS153	" ""Wheat ears"""	Triticum aestivum	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_4565	Wheat ears		
